Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
64,Poland,Europe,2018,3,52.215933,19.134422,0,"Vancouver, Canada",49.2608724,-123.1139529,16363.54108024718,2.5213197865064307,1718.171813425954
65,Portugal,Europe,2018,1,40.0332629,-7.889626299999999,0,"Vancouver, Canada",49.2608724,-123.1139529,16472.998126576862,2.5382684130553823,1729.6648032905707
66,Qatar,Middle East,2018,2,25.3336984,51.2295295,0,"Vancouver, Canada",49.2608724,-123.1139529,23403.184941156665,3.654345248452947,2141.3914221158348
67,Romania,Europe,2018,1,45.98521289999999,24.6859225,0,"Vancouver, Canada",49.2608724,-123.1139529,17952.35442791072,2.7694070393315857,1884.997214930626
68,Russia,Europe,2018,26,64.6863136,97.7453061,0,"Vancouver, Canada",49.2608724,-123.1139529,13724.319278929188,2.1190477076284635,1441.0535242875649
69,Rwanda,Africa,2018,0,-1.9646631,30.064435800000002,0,"Vancouver, Canada",49.2608724,-123.1139529,28343.136617567034,4.501572111407873,2593.3970005073834
70,Saudi Arabia,Middle East,2018,2,25.624261800000003,42.352832799999995,0,"Vancouver, Canada",49.2608724,-123.1139529,23128.638978484865,3.6085206908083243,2116.270466531365
71,Sudan,Africa,2018,0,14.584444400000002,29.4917691,0,"Vancouver, Canada",49.2608724,-123.1139529,24844.053194239954,3.897018974686893,2273.230867272956
72,Sweden,Europe,2018,11,59.67497120000001,14.5208584,0,"Vancouver, Canada",49.2608724,-123.1139529,14624.435481460028,2.2548647132464996,1535.565725553303
73,Singapore,Asia,2018,7,1.340863,103.8303918221208,0,"Vancouver, Canada",49.2608724,-123.1139529,25646.32802613874,4.0337253369799155,2346.6390143916947
74,Slovenia,Europe,2018,0,45.813311299999995,14.4808369,0,"Vancouver, Canada",49.2608724,-123.1139529,17352.540486191505,2.6752256265910144,1822.0167510501083
75,Senegal,Africa,2018,0,14.475060699999998,-14.452961199999999,0,"Vancouver, Canada",49.2608724,-123.1139529,20178.177618606733,3.124442587377834,1846.3032521025161
76,Somalia,Africa,2018,0,8.3676771,49.083416,0,"Vancouver, Canada",49.2608724,-123.1139529,27124.222877231707,4.288525629380295,2481.8663932667014
77,Swaziland,Africa,2018,1,-26.562480600000004,31.399131699999998,0,"Vancouver, Canada",49.2608724,-123.1139529,33351.315265435245,5.404400963851944,3051.645346787325
78,Thailand,Asia,2018,0,14.8971921,100.83273,0,"Vancouver, Canada",49.2608724,-123.1139529,23357.18658887285,3.646658384848333,2137.182572881866
79,Tunisia,Africa,2018,0,33.8439408,9.400138,0,"Vancouver, Canada",49.2608724,-123.1139529,19305.14729446596,2.984147016161961,1766.4209774436354
80,Turkey,Middle East,2018,2,38.959759399999996,34.9249653,0,"Vancouver, Canada",49.2608724,-123.1139529,19941.569341856466,3.0862870601043797,1824.6535947798668
81,Taiwan,Asia,2018,18,23.59829785,120.8353631381752,0,"Vancouver, Canada",49.2608724,-123.1139529,19496.62438637344,3.014802304874079,1783.9411313531698
